Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-03-19,19.7,28.6,0.0,11.0,5.7,NNW,69.0,10:16,25.5,53,5,NNE,11,1009.0,26.9,56,7.0,NNW,22,1007.8,24.15,8.900000000000002,No Rain,No Rain,2024,3,19,March,Autumn
2024-03-20,13.2,18.4,0.2,7.4,10.4,S,48.0,14:38,14.3,57,1,W,13,1022.7,17.3,43,4.0,S,19,1026.1,15.799999999999999,5.199999999999999,Rainy,Light,2024,3,20,March,Autumn
2024-03-21,9.4,20.5,0.2,6.4,10.8,SSE,30.0,9:56,13.5,61,1, ,Calm,1030.7,19.7,43,0.0,SSW,15,1026.9,14.95,11.1,Rainy,Light,2024,3,21,March,Autumn
2024-03-22,9.7,20.8,0.0,5.0,10.9,S,33.0,13:12,12.8,73,1,NE,7,1025.4,19.9,53,1.0,S,17,1022.9,15.25,11.100000000000001,No Rain,No Rain,2024,3,22,March,Autumn
2024-03-23,11.9,19.8,0.0,6.0,6.8,S,33.0,12:13,14.1,82,6, ,Calm,1026.4,19.3,56,6.0,S,15,1024.7,15.850000000000001,7.9,No Rain,No Rain,2024,3,23,March,Autumn
2024-03-24,12.2,22.3,0.0,3.6,7.8,SSW,22.0,15:52,14.6,59,7,WNW,6,1024.0,21.2,44,1.0,S,9,1021.2,17.25,10.100000000000001,No Rain,No Rain,2024,3,24,March,Autumn
2024-03-25,14.3,22.6,0.0,4.6,10.9,S,26.0,12:42,15.4,67,1,NNW,13,1021.2,21.1,53,1.0,SSW,11,1018.7,18.450000000000003,8.3,No Rain,No Rain,2024,3,25,March,Autumn
2024-03-26,13.1,21.8,0.0,5.0,8.5,SSW,24.0,11:48,14.8,76,7,W,2,1023.0,20.8,49,1.0,SSW,9,1021.8,17.45,8.700000000000001,No Rain,No Rain,2024,3,26,March,Autumn
2024-03-27,14.8,20.5,0.6,3.4,3.4,S,31.0,14:24,15.9,82,4,WSW,6,1025.9,20.2,59,7.0,S,13,1025.8,17.65,5.699999999999999,Rainy,Light,2024,3,27,March,Autumn
2024-03-28,15.7,20.4,0.2,5.0,7.3,SSW,28.0,12:39,16.4,58,7,SE,7,1027.0,19.2,56,2.0,SSW,15,1025.7,18.049999999999997,4.699999999999999,Rainy,Light,2024,3,28,March,Autumn
2024-03-29,10.6,28.0,0.0,4.0,10.6,N,31.0,11:57,12.9,83,0,NNE,6,1025.6,25.9,42,1.0,SW,7,1022.1,19.3,17.4,No Rain,No Rain,2024,3,29,March,Autumn
2024-03-30,12.9,22.4,0.0,6.2,9.9,SSW,24.0,13:03,15.0,91,7,NNE,7,1026.4,21.6,58,1.0,SSW,13,1024.9,17.65,9.499999999999998,No Rain,No Rain,2024,3,30,March,Autumn
2024-03-31,13.5,20.9,0.0,4.0,7.7,SSW,20.0,15:12,14.9,95,7,SE,4,1023.9,19.4,70,0.0,SW,7,1020.1,17.2,7.399999999999999,No Rain,No Rain,2024,3,31,March,Autumn
